FullDescription,SalaryLevel
production supervisor food manufacturing cleckheaton liversedge oakenshaw production supervisor role offer leading food manufacturer receive ongoing training work ultramodern production environment experience working production dispatch role within food industry proven people management skill drive attitude keeping impeccable standard reputable company supply variety food product nationwide supermarket chain become one fastest growing company region continuing invest state art equipment improvement site require production supervisor help achieve expansion role responsible overseeing lowrisk processing packing dispatch operation across shift managing team line leader operative ensuring continuous improvement culture high standard present ensure kpi met ideal person production background within food industry along people management experience high attention detail ability motivate others want work high volume environment exceptionally high standard growing company highly recognised within industry represents excellent opportunity make key impact business receive competitive package return expertise role working high volume food manufacturing environment overseeing processing packing dispatch operation responsible team line leader operative working towards continuous improvement initiative working double day shift pm pm pm pension healthcare package day holiday total person experience within food beverage production handson experience production dispatch people management experience high attention detail pride maintaining high standard dedicated motivating others around feel suitable position wish apply please contact keelan apply online visit website url removed send cv supervisor team leader management production dispatch continuous improvement ci food fmcg manufacturing quality health safety h meat,low
client long established family owned engineering company currently looking new role company due growth production within company company specialises producing skid engineered product oil gas industry work shop handle heavy black steel welded following detailed drawing frame complete detailed pneumatics hydraulics applied required position workshop manager duty responsibility equipping maintenance technical production area assembly machine shop finishing inspection packing section raw material component store responsibility scheduling customer order technical production area responsibility planning execution throughout product lifecycle purchase tooling overseeing setting checking product conformance maintaining material process traceability required iso company quality assurance policy responsibility allocation work staff technical production area including approval hour planning overtime holiday etc involvement recruitment welfare development training production inspection staff also candidate must ability communication equally within shop floor board room detail contact ashley omega selection service part omega resource group employment agency specialising opportunity level within engineering aerospace automotive electronics defence scientific oil gas construction manufacturing sector always seeking engineering staff senior manager skilled semiskilled machinist mechanical fitter electrical fitter quality engineer material science engineer maintenance engineer electronics engineer test technician technical author electrician laboratory technician name detail visit website url removed detail opportunity available within chosen field please visit website url removed omega resource group ltd acting employment agency relation vacancy,low
acrylic fabricator leicester per hour plus shift allowance applicable company leading point sale company leicester requires experienced acrylic fabricator join expanding team role acrylic fabricating part maufacturing process complete final product using various method polishing heat bending saw person experience acrylic manufacturing experience using heat bending equipment saw company over good rate pay opportuntiy work market leader sector apply call encore email cv,low
project similar getacoder dot com project symbian blackberry sip dialer dot html looking symbian sip dialer support g passthrough codec sip server ip hardcoded ready made work welcome long provide source code compiling instruction please bid experience netcallsbabu skill required nokia symbian desired skill net symbian,low
lean manager business transformation project job role working highly successful organisation preferably based head office aberdeen lean manager report vice president business excellence support operation manager managing portfolio process improvement business transformation project directly conducting structured improvement event coaching training others process improvement method tool role may suit candidate worked consultancy focused business driver significant change within mature organsiation lean manager involved following activity contribute development standard process innovation method tool training establishment assessment guideline tool identify structure prioritize process improvement project aligned business operating goal local manager provide handson team leadership process improvement subject matter expertise help define manage key stakeholder expectation drive successful delivery completion process improvement project drive value stream mapping definition asis analysis future state deployment transition future state business process across helicopter service site facilitate development application key performance indicator track achievement improvement target provide onthejob training business needed relates driving process improvement responsible deploying lean across network footprint skill staff constant process improvement effective root cause problem solving waste elimination develop standardise best practice across site experience skill set requirement degree qualified year business improvement business transformation change management experience using advanced process innovation leansix sigma philosophy tool project management skill would essential role strong analytical skill experience lean six sigma principal would desirable outstanding communication skill including ability establish rapport credibility lead change across level organisation ability think strategically work closely senior stakeholder across business demonstrated ability achieve measurable financial result working knowledge complex technology erp system implementation environment solid understanding aviation repair overhaul business may suit someone worked consultancy focused business driver significant change within mature organsiation role involve extensive travel cpl contact apply information please contact clare sinanan email cv clare sinanancplni com keywords lean manager process improvement manager process improvement engineer project manager programme manager six sigma management job opportunity career role vacancy,high
client award winning blue chip manufacturer electrical product currently looking hire audit senior team position become vacant successful rotation business largely operational audit role though experience financial system audit definite plus truly global organisation applicant able travel account week per month marketing branding account huge amount operational spend client internal audit experience business operating similar model big advantage organisation offer exceptional career opportunity clear career path laid new joiner information please get touch hay specialist recruitment limited act employment agency permanent recruitment employment business supply temporary worker applying job accept c privacy policy disclaimer found hay co uk,high
client leading asset manager legal key business function esteemed principal derivative lawyer came leading investment bank seek lawyer year pqe join thriving legal team coverage specialist derivative dealing isda otc derivative generally rate currency credit future giveups agreement ndas fund distribution arrangement project derivative architecture regulatory space implementation dodd frank procedure introduction ccp otc derivative clearing protocol dealing netting setoff etc lawyer would come relatively junior level view progressing increasing involvement matter creditlinked note fund structuring launch sophisticated product ideal opportunity someone perhaps lawyer centre excellence bank citi deutsche perhaps junior lawyer leading law firm bank join institution value legal staff frontline resource award bonus often multiplier base salary leading performer business unique compensation model employee hold stock business everyone working hard common goal increasing value business also performed well credit crisis current recession commerciallyfocused lawyer required deal part business advising leading fund manager board staff legal issue also buy potential comfortable prevailing low base salary ultra high bonus stock ownership culture outstanding opportunity junior lawyer gain additional experience leading buyside institution whether lawyer currently working isda negotiator seeking purely legal role magic circle junior seeking commercially oriented inhouse position returnee london bank centre excellence benefit term quality diversity work compensation commercial contact business counterparties unique position also continue learn develop leading city derivative lawyer report derivative isda brokerage custody ccp clearing master swap otc future option give trading sale buy side asset manager fund,high
exciting opportunity arisen inbound customer service advisor prestigious organisation longbenton working household brand answering customer query regard insurance policy pure customer service position providing first class customer service sole function role need previous experience within insurance sector within fsa regulated organisation position within financial service sector subject crb credit check part time permanent position offer hour per week position morning per week monday friday job originally posted www totaljobs com jobseeking inboundcustomerserviceadvisor job,low
client successful supplier effluent treatment system product recovery system industrial sector specialise treatment difficult effluent using membrane process excellent opportunity sale marketing manager sale marketing manager general manager designate job description client successful supplier effluent treatment system product recovery system industrial sector specialise treatment difficult effluent using membrane process excellent opportunity sale marketing manager responsible finding new market existing process developing new process growing effluent control market successful candidate must x experience selling capital plant major industrial company x ability identify develop new market x good interpersonal communication skill x commercial awareness small waste water treatment contractor excellent track record reputation innovative solution client x problem looking senior sale marketing professional promote business new market candidate preferably degree level qualification chemistry chemical engineering experience water waste water treatment previous experience membrane process oil gas industry would distinct advantage many year building company current owner managing director looking medium term take back seat successful candidate would ideally positioned take general manager offer attractive package including health insurance company car car allowance personal pension contribution possible equity share following would desirable x chemistry chemical engineering qualification degree level x computer literacy x nowledge reverse osmosis membrane knowledge waste treatment system x international exposure x european language look forward seeing cv hammond recruitment group acting employment agency relation vacancy,high
position mobile ac shift engineer engineer maintenance technician electrically biased air conditioning technician mobile ac technician location surrey salary c job reference vac ajc company fawkes reece contact anthony coen job type permanent job description mobile ac shift engineer air conditioning technician mobile ac technician client client established year recognised one top construction contracting firm within uk operating across sector reputation delivering high profile award winning project one key business unit company facility management arm continued expand develop increase profit throughout recession year current turnover facility sector excess million past year client acquired number business throughout uk therefore long integration period establishing solid platform boost profit throughout future complete recently major national contract meant need really increase headcount fulfil new contract requirement exciting time company looking significantly grow moving organic development acquiring company role deliver efficient fully compliant planned reactive maintenance service across air conditioning electrical service responsible ensuring air con engineering maintenance including contract work carried appropriate standard specification appropriate act authorised person responsible officer relation specific maintenance responsibility e g lv electrical system oversee minor scheme capital work essential recognised apprenticeship minimum city guild craft certificate equivalent year experience trade f gas city guild air conditioning iee th edition regulation previous supervisory skill electrical service industry desirable knowledge health safety legislation knowledge coshh good computer skill one uk leading recruiter fawkes reece specialises area building service including air conditioning engineer commercial gas engineer domestic gas engineer electrical engineer multi skilled engineer professional role including building service project manager building service manager building service engineer building service estimator building service quantity surveyor building service design engineer building service business development manager level please call anthony coen alternatively email acoenfrlondon co uk job originally posted www totaljobs com jobseeking mobileacenginnerwith thedition job,low
corporate accountant central london k study support benefit client investment management affiliate one world leading real estate service firm billion asset management worldwide due recent resignation looking recruit corporate accountant role report directly financial controller responsibility look day day corporate accounting global business provide assistance financial controller role responsibility include responsibility accounting corporate entity group monthly calculation posting management fee income monthly management reporting variance analysis preparation quarterly management fee invoice preparation asset management schedule preparation annual budget quarterly forecast preparation annual financial statement statutory reporting preparation adhoc financial analysis skill required essential part qualified acca cima corporate accounting investment management industry required preferably real estate good problem solving skill excellent attention detail analytical approach essential proactive able organise work schedule ability meet deadline strong excel skill good system knowledge sun due nature position please apply currently working within property sector either studying acca cima qualification please send cv direct jcatrioscobaltrecruitment com job originally posted www totaljobs com jobseeking corporateaccountantpartqualified job,low
resourcer retail recruitment rare opportunity location leigh wigan salary ote average take home per annum year recruitment experience business developed significant presence uk recruitment industry business provide full range recruitment service business across country variety sector retail hospitality engineering ecommerce founded principle service level always remain highest standard always client customer interest first last year developed account major business use u first tier recruitment agency choice looking talented experienced successful recruiter looking autonomous entrepreneurial role grow business within business using excellent support resource want keep billing increase earnings may perfect opportunity recruitment consultant successful track record full service recruitment minimum month experience passion delivering highest level client customer service source suitable candidate expert knowledge sector industry retail hospitality strong communication skill strong attention detail hunger recruitment career increase billing ideally degree educated high competency including use microsoft word excel opportunity sound like looking apply today one team contact shortly job originally posted www totaljobs com jobseeking resourcerretailrecruitment job,low
experienced footwear technologist required join successful fashion company footwear technologist required provide technical support buying team ensuring footwear complies quality legal standard working closely buyer supplier involved concept final production technical footwear experience essential excellent communication team working skill also must job originally posted www retailchoice com jobseeking footweartechnologist job,low
job title senior electronic engineer x imaging system department engineering design team reporting business director x sensor system function x design develop new product taking concept production participating commissioning support company product job title senior electronic engineer x imaging system department engineering design team reporting business director x sensor system function x design develop new product taking concept production participating commissioning support company product x assist supervision conceptual design technical quality electronic design team x work duty responsibility x work business director x sensor system business unit project manager specified project shall include agreeing acceptable due date defining appropriate scope work completion checklist updating progress task set immediately advising problem liable affect ability achieve task time budget accordance necessary technical standard specification x produce designrelated documentation may include limited specification manual assembly instruction illustration costing schematic bill material mrp export data test procedure x produce cad data design pcbs using protel dxp x produce design suitable use intended environment fit purpose paying due heed relevant professional standard requirement specified company customer x work together member staff ensure design completed accordance brief fully understood member design team x participate departmental projectrelated meeting including design review x provide technical support within company external customer x work purchasing external supplier supplied ensure successful costeffective implementation new product design x generate accurate bill material defined format x comply company programme quality procedure x liaise required manufacturing ensure design practical cost effective x assist required production testing prototype x maintain clear record design work including calculation test result said record saved computer network line agreed procedure x ensure configuration control rigorously enforced issue status always clearly identifiable date document database manufacturing system x operate line company x iso system x complete weekly time sheet x follow health safety requirement laid statute company regulation x facilitate internal audit process required provision necessary information x carry related task may requested time time business director x sensor sensor nominee key skill x experience design electronic aspect electrooptical product x experience design imaging system using electrooptical product ccd intensified thermal camera laser rangefinder x educated degree level either electronics physic electrical engineering electrooptics post graduate qualification electrooptics related designintegration would distinct advantage x experience field electronic hardware microcontroller design electrooptical product x experience design analogue electronic hardware including circuit capture layout x demonstrable use circuit simulation technique spice matlab x understanding field programmable gate array fpga information senior position unlikely anyone le five year professional experience would necessary ability expected least time spent hand design work note travel may involved role flexibility vital application owing defence orientated nature work candidate must screened willingness work field ensure able security clearance overseas candidate radical political background may difficult reason candidate encouraged look brochure website gain fuller picture work application made orion electrotech ltd act employment business employment agency complies conduct employment agency employment business regulation act,low
brilliant th form college based heart west london searching experienced politics teacher able teach level ideal candidate would huge interest politics lot enthusiasm student amercian politics would also added bonus position start th february permenant basis please apply interested give jade call job originally posted www totaljobs com jobseeking polticsteacher job,low
contact name heather hingston contact company jam global mobility background leading service organisation actively seeking addition move management team move service consultant responsible coordinating move start finish delivering highest level customer service role successful candidate responsible limited following manage move inquiry closing actively manages file company standard acting within company guideline time ensure client record company computer system accurate entered timely manner proactively assist client query obtain information answer known demonstrates proactive approach potential problem acting resolve quickly seek opportunity improving quality willingly share innovative idea establish maintain good working relationship within team department subcontractor supplier answer interdepartmental query timely friendly manner ensure relevant party sale crew ops relo furniture rental concierge warehouse agent subcontractor receive relevant documentation timely polite manner keep fully informed relevant aspect move ensure client satisfaction providing seamless back cover team member demonstrate continual awareness company core value deal ethical honest manner way support company team activity promote good person successful candidate previous experience dealing move management household good movement applicant customer service focussed approach ability offer highest level service corporate client apply please forward cv along salary detail quoting reference number hh gm calling heather hingston compliance new regulation april place employment agency act jam global mobility require proof identification view latest job today www jamrecruitment co uk follow u facebook twitter linkedin jam recruitment acting employment agency regard position,high
global construction business recruiting senior buyer assist delivery highway maintenance contract applicant procurement experience within construction industry ideally highway civil engineering project reporting procurement manager senior buyer work within multifunctional project team deliver highway maintenance contract local council client senior buyer responsible delivering effective procurement service specific responsibility senior buyer include develop maintain supply chain procurement strategy influence supplier subcontractor stakeholder head office procurement department liaise local buyer store personnel key supplier order placement issue assist developing enhancing procurement team performance prepare monthly procurement status report negotiation agreement new supply agreement carry regular benchmarking market testing category expenditure understand client contract objective key driver maintain supplier evaluation performance report visit supplier necessary liaise key internal stakeholder crucial procurement issue prospective senior buyer meet following criterion procurement purchasing experience construction civil engineering sector ideally highway project subcontract procurement experience desirablel experience working civil engineering construction project desirable excellent supplier management skill ability engage stakeholder mcips desirable senior buyer able work home day p week barclay meade acting employment business relation vacancy,low
associate dentist east end park leeds full time k k associate dentist required nh dental practice based east end park leeds dental practice requires associate dentist work full time permanent opportunity practice existing patient list offering annual contract uda value per uda also dentist increase income private dentistry information please contact malcolm barker network open apply online please forward cv applying network open specialist recruiter dental sector providing temporary permanent staffing solution dental practice uk vacancy register job alert visit network open website also follow u twitter netopendental,high
flame care registered general nurse job market harborough leicestershire flame care great opportunity leicestershire area registered general nurse work within growing care home chain working registered general nurse within brand new environment registered general nurse always work highest standard whilst adhering company policy team player good understanding working within care home registered general nurse knowledge understanding quality nursing care able build relationship quickly easily ensuring smooth running home liaise internal external staff return receive excellent benefit package career progression within company applicant must nursing qualification current nmc registration working pattern involve day apply role enquire additional registered general nurse opportunity market harborough leicestershire region contact flame care freephone calling mobile alternatively email careersflamecare com flame health associate llp incorporating flame care operates employment agency employment business,low
national deaf child society ndcs leading charity dedicated creating world without barrier deaf child young people head medium pr london office based p hour per week permanent want part growing organisation take responsibility leading development management medium relation function strategy uk internationally demonstrating flair imagination strong influencing skill also need experience developing implementing medium relation strategy similar larger organisation successful track record managing small team within communication marketing function addition need good strategic organisational project management writing skill well empathy ndcs vision mission closing date application tuesday february expect interview held london friday february ndcs aiming equal opportunity employer committed promoting worklife balance amongst staff ndcs committed safeguarding welfare child expects staff volunteer share commitment national deaf child society registered charity england wale scotland sc information apply please click apply button download application form,low
uk sale manager k k k otc chance join already well established company overseas new office london almost like startup backing experience parent company get chance growing client list scope recruit support staff line role responsibility develop new business partner account manage upsell existing client prospect qualify potential new business communicate effectively team uk france creating report strategy new opportunity essential requirement skill educated degree level equivalent ideally experience sale ideally digital advertising hunter mentality responsible launching brand uk english native level french third language would ideal expansion plan horizon relevant skill experience happy muck necessary launch new brand uk please hesitate contact sarah heard heardeurolondon com thank applying euro london appointment uk largest independent language consultancy aim respond promptly possible application however due high level cv receive able respond applicant whose profile match client requirement enquire vacancy please visit website www eurolondon com,low
site unit huntercombe rowan house hospital address buxton norwich norfolk nr rh contracted weekly hour rowan house bedded secure hospital located outside norwich village buxton set beautiful ground provides assessment treatment rehabilitation adult detained mental health act service caters people challenging behaviour autistic spectrum condition mental health problem condition hospital located quiet rural location accessible local amenity situated small town aylsham mile away historical town norwich mile opposite direction norfolk beautiful county mile unspoilt coastline internationally important nature reserve wild life waterlands picturesque market town seaside resort also international airport norwich doorstep giving easy access part country continent offer excellent staff induction programme ongoing staff development training opportunity everyone ample free parking available site individual transport needed due rural location registered nurse work closely centre manager deputise absence responsible carrying general nursing responsibility including overall well resident assisting formulation implementation delivery excellent standard care promoting independence dignity positively enhancing life individual care registered nurse need make happen support deputy nurse manager registered manager day day nursing responsibility carry ongoing assessment determine individual need assist formulation personal care plan work closely resident promote greater independence encourage wide range activity ensure high standard personal health hygiene,low
escription perth kinross community health partnership mental health service murray royal hospital specialist physiotherapist band salary scale per annum pro rata vacancy arisen physiotherapist join team within perth kinross professionally committed continued professional development strong emphasis regular supervision staff service wide clinical network promote evidence based practice quality care service participates education undergraduate student structured staff review system offer professional support clinical effectiveness network committed regular inservice training personal professional development candidate must willing able travel throughout locality applicant must registered hpc informal enquiry linda nicol team lead mental health physiotherapy team tel email lnicolnhs net hour work per week please download full application pack www job scot nh uk completed application returned recruitment taysidenhs net quoting job reference number subject box human resource management office perth royal infirmary perth ph nx shortlisted applicant contacted email please check email regularly please quote reference number p er closing date receipt completed application form friday february interview scheduled take place tuesday march information completed application returned recruitment taysidenhs net quoting job reference number subject box human resource management office perth royal infirmary perth ph nx shortlisted applicant contacted email please check email regularly please quote reference number p er closing date receipt completed application form friday february interview scheduled take place tuesday march,low
sale administrator k permanentour client basingstoke seeking experience sale administrator provide full administrational support sale team enable sale staff maximise time spent customer provide general administrative support regional sale director sale customer support manager global sale team including limited focal point contact general enquiriesassistance drafting correspondence support sale teamscoordinate prepare customer visitsorganising internal sale team meeting sale conference marcomms teamorganising regional sale update call monthly collating report regional teamsreparation collation correspondence supporting document directedmaintaining sale area sharepoint ensure template uptodate easy findpreparation distribution presentation material directed e g brochure standard presentation etc daytoday management demo suitemaintenance crm contact list ensure distribution list event customer survey diary christmas card gift marketing mailshots date process managedwith marcomms teammake travel accommodation arrangement required maintaining diary requested senior team membersprovide backup sale support team occasion ensure customer receivesconsistent level support absence certain team membersadministrative support includingstationary managementarranging business inductionsrequirements demonstrable administrative experience complex dynamic working environment previous experience sale support administration would advantageous essential proficient using microsoft office apply recruitment today recruitment leading provider permanent temporary contract recruitment solution hampshire surrey andberkshire please note hear consultantwithin day application unsuccessful occasion,low
total assist education urgently requesting cv experienced ebd specialist long term vacancy located london request candidate relevant uk experience working primary secondary pupil within sen spectrum particularly pupil behavioural difficulty position asap start successful candidate also meet criterion must current crb suitable reference interested applying please email cv without delay jontotalassist net,low
trainee estate agent canarywharf curtis mayfair searching moneyhungry driven highly self motivated trainee estate agent join expanding estate agent one canary wharf branch trainee estate agent suitable trainee estate agent strong background targeted sale role either face face phone sale used working pressure client offering successful trainee estate agent salary excellent commission structure target earnings region use pool car apply exciting role please apply online call curtis mayfair equal opportunity employer welcome application curtis mayfair recruitment consultancy advertising vacancy behalf one client latest vacancy visit website job originally posted www totaljobs com jobseeking traineeestateagentcanarywharf job,low
client bridport specialist oil gas nuclear industry requires ndt technician join team temporary basis cover sickness candidate must dyepenetrative dpi lpi experience ideally level certificate certificate need produced prior interview role may also require basic assembly fitting part inspection bindt sector g qualification desirable apply confidence please call fiona mploy technical solution email cv,low
c software developer edinburgh c winforms sql server edinburgh k doe professional service company office across uk immediate urgent requirement experienced c software developer join fast expanding team office edinburgh ideal candidate posse experience working across full development life cycle utilising c sql server winforms development experience working agile development environment candidate must strong verbal written communication skill microsoft certification experience asp net highly desirable new challenge national company really going place great benefit exciting project utilising latest microsoft technology please apply today,low
demob job reference j job title field installation bristol swindon newbury reading slough salary bonus benefit start date immediate introduction client leading provider electrical product install commission product throughout uk range industry including utility rail due continued expansion require field installation carry installation commissioning wide range lv product use laptop commission switch gear bespoke vacuum breaker ph single phase kv swap faulty switch gear test repair failed communication equipment use web based software change setting set permission add people etc conduct demonstration provide product training customer site compile submit technical report work alongside regional office providing technical support customer base uk provide field service support order maximise availability customer equipment responsible ensuring compliance customer safety environmental policy procedure ensure activity carried accordance company health willing travel hold full clean driving licence desirable experience within field service engineering role hv mv knowledge hold recognised health safety qualification benefit salary dependant experience company car mobile phone laptop provided bonus based individual company performance day plus bank holiday company pension scheme cycle work scheme full training company product opportunity join reputable company challenging varied working environment,low
credit manager job belfast partnership client cpl currently seeking credit manager belfast job role credit manager required protect client investment account receivable using appropriate security credit limit payment method duty responsibility managing credit team providing credit expertise leadership ensuring credit policy implemented communicated company location manage trade credit agreed term minimize exposure bad debt pro actively manage credit limit ensuring change authorized compliant credit policy review key account financial data payment performance security regular basis updating maintain credit file material change occur ensure high risk customer identified credit assessment stage ensure effective timely production distribution relevant monthly weekly report company management ongoing review security ensure sufficient valid security held file key customer ensure system place pro actively highlight concern potential problem account company management experience skill set required year related experience high volume value credit environment experience managing developing credit team challenging business environment fully versed aspect security personal guarantee bank guarantee credit insurance fixed floating charge demonstrate proven ability initiate reduce investment debtor whilst time maintaining business experience profiling understanding credit risk excellent analytical skill ability analyse interpret financial statement strong administrative skill microsoft office required knowledge erp system would advantage strong commercial awareness membership institute credit management equivalent experience credit forum ability evidence focus analytics payment performance cpl contact apply information please contact sheena crosbie apply link key word credit account receivable manager finance risk role job career belfast antrim northern ireland minimim experience year,low
therapy area cardiovascular diabetes package negotiable basic salary around car pension scheme private health bonus incentive territory includes south london great opportunity join market leading pharmaceutical company account therapy specialist client one world leading pharmaceutical company people employed across globe annual turnover excess billion dollar wide range innovative medicine make real difference important area clinical need account therapy specialist accountable driving sale market share growth brand local health economy lhe working close partnership customer wider team play active role identifying managing account engage wider local team work collaboratively brand freedom recommend take opportunity develop business responsible promotion key nh influencers across primary secondary care high level therapy area expertise insight understanding nh environment identify solution customer facilitate change benefit patient business accountability responsibility maximising prescribing brand promotion key influencers prescribers produce effective plan deliver customer local objective target customer include hospital prescriber specialist gp nurse appropriate payors decision maker identifying opportunity strategy improve positioning product formulary local guideline implement plan deliver identified opportunity develop level expertise knowledge therapy area make respected expert nh customer work closely wider sale team implement national local plan strategy experience working nh pharmaceutical healthcare industry role proven track record sale business management success proven track record influencing prescribing decisionmaking process senior nh customer primary secondary care depth knowledge chosen therapy area ability take high volume new information quickly self starter effective problem solver accountable action result role accompanied excellent package includes negotiable basic salary based experience pension healthcare bonus scheme company car scheme graduate calibre ideally abpi qualified must live territory full driving licence eligible employment uk apply suitable position please attach cv alternatively call nigel crabtree chemistree solution ltd pharmaceutical healthcare recruitment specialist simplistically aim chemistree gain access best candidate specifically match need need client primary focus chemistree challenge sourcing great talent believe successful recruitment lie heart business success keywords medical sale representative pharmaceutical sale representative sale representative sale representative account manager business manager innovative ambition successful leading focused forward thinking enterprising teamwork selling skill commercial account management healthcare development manager hospital specialist integrated healthcare specialist nh liaison manager,high
milan london plus commission benefit according experience ability energy management procurement company based london office throughout europe overseas seeking experienced italian business development manager ensure maximum account retention development within key account responsibility manage existing italian business company recruit manage develop sale team region develop pipeline new customer large energy user within italian region well managing existing account help implement marketing strategy respond request proposal develop business throughout region via email campaign event business social network webinars reporting activity performance manager skill required previous experience italian electricity gas utility market ideally consultancy experience industrial corporate procurement international sale experience experience providing bespoke consultancy solution native italian fluent english language would useful addition proven business development track record prepared travel across europe afield required apply contact abi willow shaw cover letter addressing particular point job spec would welcome,low
ideal opportunity st move industry qualifying practice new role supporting consistent growth success highly sort local employer proven track record developing staff diverse role offer technical commercial finance experience role business partnering shared service head department providing quality management information analysis providing high quality analysis support cost benefit management executive committee andukgroup assist theukgroup reporting process enable accurate timely reporting european based parent company accountability monitoring analysis group overhead central cost cost benefit analysis reporting taking ownership ledger balance sheet shared service department budgeting forecasting calculating departmental accrual prepayment fixed asset management including asset acquisition disposal responsible ledger balance sheet dormant run company including group reporting statutory account production og group management account preparing group consolidation reporting adhoc project analysis required successful candidate professionally qualified ideally top practice looking get first move industry strong academic history ideally exposure group audit consolidation excellent communication relationship management skill,high
client situated close corby looking multi skilled engineer electrical bias time served recognised apprenticeship applying candidate hold th edition main duty ppm service maintenance attending breakdown high speed food production machinery also required knowledge continuous improvement electrically exp single three phase invertors control panel also must able fault find siemens plcs candidate would ideally fmcg food environment continental shift pattern k benefit would like apply position please email copy cv davidsynergi uk com,low
adi global distribution honeywell security group distribution business offer award winning product portfolio including highly reputable well established brand adi customer access wide range security product well low voltage audio video product leading industry brand currently recruiting assistant branch manager leicester branch assist support branch manager achieving branch sale profit target key responsibility overseeing branch staff supervisory capacity deputizing branch manager absence provide complete sale sale service new existing customer deal customer order query efficient manner assist day day operation trade counter work sale representative order achieve branch target dealing banking return repair stock control chasing placing order targeting dormant account new customer regular basis experience skill required experience working within security electrical wholesale distribution environment business business excellent communication skill ability provide high level customer service build strong business relationship experience dealing customer phone face face branch open mondayfriday pm looking varied challenging role position perfect two day paramount ensuring success branch equal opportunity employer honeywell committed diverse workforce,low
